filing_uuid,filing_year,filing_period,registrant_name,client_name,client_country,client_ppb_country,foreign_entity_name,foreign_entity_country,foreign_entity_ppb,income,url
99d71e65-18ed-4583-85a4-e976a07f7589,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,YANGTIAN XU,SG,SG,90000.0,https://lda.senate.gov/api/v1/filings/99d71e65-18ed-4583-85a4-e976a07f7589/?format=json
bdb0314c-473b-41b1-b442-e0f20a312819,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,"ELITE DEPOT, LTD.",KY,KY,90000.0,https://lda.senate.gov/api/v1/filings/bdb0314c-473b-41b1-b442-e0f20a312819/?format=json
4e56f063-9d60-4383-a3d2-14f8d737cece,2024,second_quarter,"BROWNSTEIN HYATT FARBER SCHRECK, LLP","ZHEJIANG GEELY HOLDING GROUP CO., LTD.",CN,US,WINNIE FOK,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/4e56f063-9d60-4383-a3d2-14f8d737cece/?format=json
a4411100-2eef-4903-9950-850271612499,2025,first_quarter,AKIN GUMP STRAUSS HAUER & FELD,"ANT GROUP CO., LTD.",CN,CN,HANGZHOU JUNAO EQUITY INVESTMENT PARTNERSHIP,CN,CN,90000.0,https://lda.senate.gov/api/v1/filings/a4411100-2eef-4903-9950-850271612499/?format=json
1298eda0-4222-4a30-a618-2cb23ca07728,2026,first_quarter,HOLLAND & KNIGHT LLP,"CONVATEC, INC. F/K/A TRIAD LIFE SCIENCES, INC.",US,US,CONVATEC GROUP PLC.,GB,GB,90000.0,https://lda.senate.gov/api/v1/filings/1298eda0-4222-4a30-a618-2cb23ca07728/?format=json
99d71e65-18ed-4583-85a4-e976a07f7589,2023,second_quarter,AKIN GUMP STRAUSS HAUER & FELD,SHEIN TECHNOLOGY LLC,US,US,"ELITE DEPOT, LTD.",KY,KY,90000.0,https://lda.senate.gov/api/v1/filings/99d71e65-18ed-4583-85a4-e976a07f7589/?format=json
adda018e-d976-4ba3-aed1-a327e85197ea,2025,fourth_quarter,"GUIDEPOSTSTRATEGIES, LLC",CATURUS,US,US,MUBADALA INVESTMENT COMPANY,AE,AE,80000.0,https://lda.senate.gov/api/v1/filings/adda018e-d976-4ba3-aed1-a327e85197ea/?format=json
e1501b7e-fa48-4000-a024-23383867ac4b,2023,fourth_quarter,"WILLIAMS AND JENSEN, PLLC",US GUATEMALA BUSINESS COUNCIL,US,US,CACIF,GT,GT,80000.0,https://lda.senate.gov/api/v1/filings/e1501b7e-fa48-4000-a024-23383867ac4b/?format=json
4bcb5ca5-0171-4c2e-8d07-b50d51dcacbd,2023,fourth_quarter,"MEHLMAN CONSULTING, INC.",TIKTOK INC.,US,US,TIKTOK LTD.,KY,KY,80000.0,https://lda.senate.gov/api/v1/filings/4bcb5ca5-0171-4c2e-8d07-b50d51dcacbd/?format=json
66297832-0a49-4414-9972-b2311894f07a,2023,second_quarter,INVARIANT LLC,TRAVELCENTERS OF AMERICA INC.,US,US,BP P.L.C.,GB,GB,80000.0,https://lda.senate.gov/api/v1/filings/66297832-0a49-4414-9972-b2311894f07a/?format=json
89406c56-912c-495e-9fac-aebda27347a8,2022,third_quarter,"WILLIAMS AND JENSEN, PLLC",US GUATEMALA BUSINESS COUNCIL,US,US,CACIF,GT,GT,80000.0,https://lda.senate.gov/api/v1/filings/89406c56-912c-495e-9fac-aebda27347a8/?format=json
4bcb5ca5-0171-4c2e-8d07-b50d51dcacbd,2023,fourth_quarter,"MEHLMAN CONSULTING, INC.",TIKTOK INC.,US,US,ZHANG YIMING,SG,SG,80000.0,https://lda.senate.gov/api/v1/filings/4bcb5ca5-0171-4c2e-8d07-b50d51dcacbd/?format=json
